VARIABLES="Frequency (rad/s)" "|Fx| (N/m)" "|Fy| (N/m)" "|Fz| (N/m)" "|Cx| (N)" "|Cy| (N)" "|Cz| (N)" "ang(Fx) (°)" "ang(Fy) (°)" "ang(Fz) (°)" "ang(Cx) (°)" "ang(Cy) (°)" "ang(Cz) (°)"
Zone t="Corps  1"
Zone t="Excitation force - beta =   0.000 deg",I=   100,F=POINT
 2.4685  0.204165E+06  0.350666E+04  0.139506E+06  0.360075E+05  0.219414E+07  0.143154E+05  126.01  -42.84  -26.64  -51.19  -53.77   49.34
 2.5088  0.170911E+06  0.393599E+04  0.441544E+05  0.459788E+05  0.190368E+07  0.868614E+05  106.59  -58.72   -8.16  -76.90  -72.50   -2.50
 2.5491  0.142622E+06  0.665534E+04  0.130294E+06  0.755732E+05  0.165816E+07  0.899475E+05   89.55  -61.67 -123.97  -75.01  -89.70   47.80
 2.5894  0.101534E+06  0.874921E+04  0.139301E+06  0.941542E+05  0.131071E+07  0.632883E+05   77.42  -62.78 -126.30  -73.08 -103.01   42.04
 2.6297  0.246949E+05  0.975782E+04  0.132344E+06  0.953346E+05  0.636561E+06  0.413661E+05   56.53  -61.38 -140.64  -78.11 -116.06   31.76
 2.6700  0.200575E+06  0.875637E+04  0.124475E+06  0.971769E+05  0.146561E+07  0.362444E+05  -86.60  -38.20 -158.40  -68.21   93.29   26.27
 2.7103  0.262983E+06  0.750944E+04  0.117524E+06  0.736849E+05  0.250075E+07  0.110972E+05  -36.11 -119.15 -177.08 -118.08  143.53   26.92
 2.7506  0.199222E+06  0.116012E+05  0.108071E+06  0.975075E+05  0.203404E+07  0.141222E+05  -40.61 -117.67  166.25 -130.12  139.37  133.74
 2.7909  0.170314E+06  0.133329E+05  0.911827E+05  0.113612E+06  0.179665E+07  0.441888E+05  -55.17 -125.02  156.02 -146.16  124.87  165.34
 2.8312  0.152729E+06  0.137963E+05  0.471526E+04  0.113619E+06  0.163868E+07  0.944754E+05  -71.79 -132.61  158.84 -161.97  108.04 -178.24
 2.8715  0.133740E+06  0.142786E+05  0.101216E+06  0.122872E+06  0.146730E+07  0.514181E+05  -86.47 -143.67   48.36  177.41   92.77 -122.87
 2.9118  0.115154E+06  0.139553E+05  0.111120E+06  0.161120E+06  0.129012E+07  0.826687E+04  -92.54 -163.42   44.94  147.94   84.68   25.80
 2.9521  0.518833E+05  0.128028E+05  0.109438E+06  0.193623E+06  0.693257E+06  0.256815E+05  -75.65 -179.21   30.78  130.54   94.21   47.87
 2.9924  0.835508E+05  0.157248E+05  0.112322E+06  0.323236E+06  0.713390E+06  0.825305E+05  137.25  130.25   15.23  110.08  -44.92    2.02
 3.0327  0.802288E+05  0.330291E+05  0.116282E+06  0.514177E+06  0.789415E+06  0.172102E+06  177.97  116.97    6.74  107.87  -11.71    7.15
 3.0730  0.231232E+05  0.515102E+05  0.109987E+06  0.694650E+06  0.282389E+06  0.262240E+06 -165.77  126.00    3.81  117.63  -28.04    8.51
 3.1133  0.231313E+05  0.620277E+05  0.106246E+06  0.782324E+06  0.338983E+06  0.380056E+06   15.49  131.38   13.26  124.17 -126.42   10.52
 3.1536  0.314593E+05  0.776715E+05  0.887755E+05  0.903208E+06  0.414091E+06  0.482883E+06    5.38  131.68   37.85  126.50 -140.58   20.65
 3.1939  0.188393E+05  0.929131E+05  0.902525E+05  0.996624E+06  0.179851E+06  0.508700E+06  -45.26  140.26   61.76  135.12 -145.56   28.80
 3.2342  0.112133E+06  0.117978E+06  0.979784E+05  0.117976E+07  0.950527E+06  0.472331E+06 -130.15  149.26   80.19  143.12   39.15   36.56
 3.2745  0.255021E+06  0.937685E+05  0.972993E+05  0.930734E+06  0.245215E+07  0.381248E+06  -81.59 -177.05   80.12  172.90   95.40   38.36
